Legacy_Name,glyph_name,ps_name,USV,Dir,DesignerOrder,fonts,base,Glyphsbase,above,below,center,ring,through,aboveLeft,MirrorGlyph,UnicodeVer,old name / comment,bcp47tags,OTLang,Feat,MarkGroup
iacute,iacute,iacute,00ED,,218,*,dotlessi,idotless,acute,,,,,,,,,,,,
icircumflex,icircumflex,icircumflex,00EE,,219,*,dotlessi,idotless,circumflex,,,,,,,,,,,,
idieresis,idieresis,idieresis,00EF,,220,*,dotlessi,idotless,dieresis,,,,,,,,,,,,
eth,eth,eth,00F0,,221,*,,,,,,,,,,,,,,,
ntilde,ntilde,ntilde,00F1,,222,*,n,n,tilde,,,,,,,,,,,,
ograve,ograve,ograve,00F2,,223,*,o,o,grave,,,,,,,,,,,,
oacute,oacute,oacute,00F3,,224,*,o,o,acute,,,,,,,,,,,,
ocircumflex,ocircumflex,ocircumflex,00F4,,225,*,o,o,circumflex,,,,,,,,,,,,
otilde,otilde,otilde,00F5,,226,*,o,o,tilde,,,,,,,,,,,,
odieresis,odieresis,odieresis,00F6,,227,*,o,o,dieresis,,,,,,,,,,,,
divide,divide,divide,00F7,,228,*,,,,,,,,,,,,,,,
oslash,oslash,oslash,00F8,,229,*,,,,,,,,,,,,,,,
ugrave,ugrave,ugrave,00F9,,230,*,u,u,grave,,,,,,,,,,,,
uacute,uacute,uacute,00FA,,231,*,u,u,acute,,,,,,,,,,,,
ucircumflex,ucircumflex,ucircumflex,00FB,,232,*,u,u,circumflex,,,,,,,,,,,,
udieresis,udieresis,udieresis,00FC,,233,*,u,u,dieresis,,,,,,,,,,,,
yacute,yacute,yacute,00FD,,234,*,y,y,acute,,,,,,,,,,,,
thorn,thorn,thorn,00FE,,235,*,,,,,,,,,,,,,,,
