Legacy_Name	glyph_name	ps_name	USV	Dir	DesignerOrder	fonts	base	Glyphsbase	above	below	center	ring	through	aboveLeft	MirrorGlyph	UnicodeVer	old name / commet	bcp47tags	OTLang	Feat	MarkGroup
absAlefWaslaFin.postLamMed	alefWasla-ar.postLamMed.fina	uni0671.postLamMed.fina		AL	282	SHL	absAlefFin.postLamMed	alef-ar.postLamMed.fina	_wasla												
absHighHamzaAlef	highhamzaAlef-ar	uni0675	0675	AL	283	SHL	absAlef	alef-ar	_highHamza												
absHighHamzaAlefFin	highhamzaAlef-ar.fina	uni0675.fina		AL	284	SHL	absAlefFin	alef-ar.fina	_highHamza												
absHighHamzaAlefFin.postLamIni	highhamzaAlef-ar.postLamIni.fina	uni0675.postLamIni.fina		AL	285	SHL	absAlefFin.postLamIni	alef-ar.postLamIni.fina	_highHamza												
absHighHamzaAlefFin.postLamMed	highhamzaAlef-ar.postLamMed.fina	uni0675.postLamMed.fina		AL	286	SHL	absAlefFin.postLamMed	alef-ar.postLamMed.fina	_highHamza												
absAlefDigitTwoAbove	alefTwoabove-ar	uni0773	0773	AL	287	SHL	absAlef	alef-ar						_two		5.1					
absAlefDigitTwoAboveFin	alefTwoabove-ar.fina	uni0773.fina		AL	288	SHL	absAlefFin	alef-ar.fina						_two		5.1					
absAlefDigitTwoAboveFin.postLamIni	alefTwoabove-ar.postLamIni.fina	uni0773.postLamIni.fina		AL	289	SHL	absAlefFin.postLamIni	alef-ar.postLamIni.fina						_two		5.1					
absAlefDigitTwoAboveFin.postLamMed	alefTwoabove-ar.postLamMed.fina	uni0773.postLamMed.fina		AL	290	SHL	absAlefFin.postLamMed	alef-ar.postLamMed.fina						_two		5.1					
absAlefDigitThreeAbove	alefThreeabove-ar	uni0774	0774	AL	291	SHL	absAlef	alef-ar						_three		5.1					
absAlefDigitThreeAboveFin	alefThreeabove-ar.fina	uni0774.fina		AL	292	SHL	absAlefFin	alef-ar.fina						_three		5.1					
